Name,Type,DateDebut,DateFin,maxHeures
CH-TD,U,0101,3112,2
CH-TM,U,0101,3112,2
CH-TN,U,0101,3112,2
CH-TP,U,0101,3112,2
CH-TQ,U,0101,3112,2
CH-TR,U,0101,3112,2
CH-TT,U,0101,3112,24
CH-TU,U,0101,3112,2
CH-TX,U,0101,3112,9
CH-TY,U,0101,3112,15
CH-TZ,U,0101,3112,2
CH-UA,U,0101,3112,2
CH-UB,U,0101,3112,2
CH-UF,U,0101,3112,2
CH-UO,U,0101,3112,2
CI-AA,I,0101,3112,0
CI-AB,I,0101,3112,0
CI-AC,I,0101,3112,0
CI-AF,I,0101,3112,0
CI-DB,I,0101,3112,0
CI-DE,I,0101,3112,0
CI-PB,I,0101,3112,0
CI-PJ,I,0101,3112,0
CI-QY,I,0101,3112,0
CI-RG,I,0101,3112,0
CI-SD,I,0101,3112,0
CI-SE,I,0101,3112,0
CI-SF,I,0101,3112,0
CI-SN,I,0101,3112,0
CP-AA,U,0101,3112,2
CQ-AA,U,0101,3112,2
CQ-AC,U,0101,3112,2
CQ-AK,U,0101,3112,2
CQ-DG,U,0101,3112,2
CQ-QE,U,0101,3112,2
CQ-QF,U,0101,3112,2
CQ-QT,U,0101,3112,2
CQ-RC,U,0101,3112,2
CQ-RN,U,0101,3112,2
CR-AY,R,0101,3112,0
CR-QN,R,0101,3112,0
CR-QO,R,0101,3112,0
CR-QP,R,0101,3112,0
CR-RC,R,0101,3112,0
CR-RN,R,0101,3112,0
CR-SK,R,0101,3112,0
CU-AA,U,0101,3112,2
MB-RT,V,0101,3112,6
MM-08,M,0101,3112,9
MM-14,M,0101,3112,1400
MN-08,M,0101,3112,15
MT-09,D,0101,3112,900
MT-10,D,0101,3112,1000
MT-11,D,0101,3112,1100
MT-12,D,0101,3112,1200
MT-14,D,0101,3112,1400
MT-16,D,0101,3112,1600
MT-20,D,0101,3112,2000
MX-01,P,0101,3112,3
MX-02,Q,0101,3112,3
MX-03,Q,0101,3112,4
MX-04,Q,0101,3112,8
MX-05,Q,0101,3112,11
MX-06,Q,0101,3112,3
MX-07,Q,0101,3112,3
MX-10,Q,0101,3112,3
MX-11,Q,0101,3112,3
MX-12,Q,0101,3112,3
MX-14,Q,0101,3112,4
MX-16,Q,0101,3112,12
MX-17,P,0101,3112,3
MX-19,Q,0101,3112,8
MX-21,Q,0101,3112,3
MX-25,Q,0101,3112,3
PA-TD,A,0101,3112,0
PA-VL,A,0101,3112,0
PC-GR,A,0101,3112,0
PC-PI,A,0101,3112,0
PC-TD,A,0101,3112,0
PC-VE,B,0101,3112,0
PC-VR,B,0101,3112,0
R747,F,0101,3112,2
SH-AA,U,0101,3112,2
SH-AC,U,0101,3112,2
SH-AI,U,0101,3112,2
SH-AJ,U,0101,3112,2
SH-DG,U,0101,3112,2
SH-PC,U,0101,3112,2
SH-PD,U,0101,3112,2
SH-SD,U,0101,3112,2
SH-SR,U,0101,3112,2
SH-TZ,U,0101,3112,2
SH-UA,U,0101,3112,2
SH-UU,U,0101,3112,2
SI-AA,I,0101,3112,0
SI-AB,I,0101,3112,0
SI-AC,I,0101,3112,0
SI-AE,I,0101,3112,0
SI-AF,I,0101,3112,0
SI-AK,I,0101,3112,0
SI-AV,I,0101,3112,0
SI-AY,I,0112,3112,0
SI-AZ,I,0101,3112,0
SI-BA,I,0101,3112,0
SI-DA,I,0101,3112,0
SI-DB,I,0101,3112,0
SI-DC,I,0101,3112,0
SI-DF,I,0101,3112,0
SI-DG,I,0101,3112,0
SI-DH,I,0109,3112,0
SI-DI,I,0101,3112,0
SI-DJ,I,0101,3006,0
SI-DL,I,0111,3112,0
SI-DM,I,0101,3103,0
SI-DP,I,0101,3112,0
SI-DQ,I,0104,3110,0
SI-DR,I,0104,3011,0
SI-DS,I,0104,1410,0
SI-DU,I,1506,1409,0
SI-MA,I,0101,3112,0
SI-MB,I,0101,3112,0
SI-NA,I,0101,3112,0
SI-NB,I,2106,0408,0
SI-NC,I,0101,3112,0
SI-ND,I,0101,3112,0
SI-NE,I,0101,3112,0
SI-PA,I,0101,3112,0
SI-PB,I,0101,3112,0
SI-PC,I,0101,3112,0
SI-PE,I,0101,3112,0
SI-PG,I,0101,3112,0
SI-PI,I,0101,3112,0
SI-PJ,I,0101,3112,0
SI-PM,I,0101,3112,0
SI-PO,I,0101,3112,0
SI-PP,I,0109,3112,0
SI-PQ,I,0101,3006,0
SI-PT,I,0101,3112,0
SI-PU,I,0101,3112,0
SI-PV,I,0101,3112,0
SI-PX,I,0109,3112,0
SI-PY,I,0101,3006,0
SI-PZ,I,0101,3112,0
SI-QF,I,0101,3112,0
SI-QG,I,0101,3112,0
SI-QK,I,0101,3112,0
SI-QO,I,0101,3112,0
SI-QS,I,0101,3112,0
SI-QY,I,0101,3112,0
SI-RB,I,0101,3112,0
SI-RC,I,0101,3112,0
SI-RD,I,0101,3112,0
SI-RF,I,0101,3112,0
SI-RG,I,0101,3112,0
SI-RP,I,0101,3112,0
SI-RU,I,0101,3112,0
SI-RY,I,0101,3112,0
SI-RZ,I,0101,3112,0
SI-SD,I,0101,3112,0
SI-SE,I,0101,3112,0
SI-SF,I,0101,3112,0
SI-SG,I,0101,3112,0
SI-SH,I,0101,3112,0
SI-SJ,I,0101,3112,0
SI-SK,I,0101,3112,0
SI-SL,I,0101,3112,0
SI-SM,I,0101,3112,0
SI-SN,I,0101,3112,0
SI-SR,I,0101,3112,0
SI-SS,I,0101,3112,0
SI-SU,I,0101,3112,0
SI-SV,I,0101,3112,0
SI-SX,I,0101,3112,0
SI-SY,I,0101,3112,0
SI-SZ,I,0101,3112,0
SI-TC,I,0101,3112,0
SI-TD,I,0101,3112,0
SI-TF,I,1508,3112,0
SI-TG,I,0101,3112,0
SI-TI,I,0101,2306,0
SI-TJ,I,0101,3112,0
SI-TK,I,0101,3112,0
SI-TM,I,0101,3112,0
SI-TN,I,0109,3112,0
SI-TO,I,0101,3006,0
SI-TQ,I,0101,3112,0
SI-TR,I,0101,3112,0
SI-TS,I,0101,3112,0
SI-TT,I,0101,3112,0
SI-TU,I,0101,3112,0
SI-TV,I,0101,3112,0
SI-TX,I,0101,3112,0
SI-TY,I,0101,3112,0
SI-TZ,I,0101,3112,0
SI-UA,I,0101,3112,0
SI-UB,I,0101,3112,0
SI-UC,I,0109,3112,0
SI-UD,I,0101,3006,0
SI-UF,I,0101,3112,0
SI-UG,I,0101,3112,0
SI-UH,I,0101,3112,0
SI-UI,I,0101,3112,0
SI-UJ,I,0101,3112,0
SI-UK,I,0101,3112,0
SI-UL,I,0101,3112,0
SI-UM,I,0101,3112,0
SI-UN,I,0101,3112,0
SI-UO,I,0101,3112,0
SI-UP,I,0109,3112,0
SI-UQ,I,0101,3006,0
SI-US,I,0105,0110,0
SI-UT,I,0101,3112,0
SI-UU,I,0101,3112,0
SI-UZ,I,0101,3112,0
SP-AA,U,0101,3112,2
SP-AC,U,0101,3112,2
SP-AJ,U,0101,3112,2
SP-AK,U,0101,3112,2
SP-BE,U,0101,3112,2
SP-QE,U,0101,3112,2
SP-QX,U,0101,3112,2
SP-QY,U,0101,3112,2
SR-AA,R,0101,3112,0
SR-AY,R,0101,3112,0
SR-PB,R,0101,3112,0
SR-QF,R,0101,3112,0
SR-QN,R,0101,3112,0
SR-QO,R,0101,3112,0
SR-QX,R,0101,3112,0
SR-RN,R,0101,3112,0
SR-RQ,R,0101,3112,0
SR-SI,R,0101,3112,0
SR-SK,R,0101,3112,0
XX-01,G,2412,2612,0
XX-02,G,3112,3112,0
XX-03,G,0101,0201,0
XX-04,G,2204,2204,0
XX-05,G,2005,2005,0
XX-06,G,2406,2406,0
XX-07,G,0107,0107,0
XX-08,G,0209,0209,0
XX-09,G,1410,1410,0
XX-11,G,0101,3112,0
XX-12,G,0101,3112,0
ZV-01,A,0104,1411,0
ZV-02,A,0104,1411,0
ZV-07,A,0104,1411,0
ZV-08,A,0104,1411,0
ZV-09,A,0104,1411,0
ZV-11,A,0104,1411,0
ZV-12,A,0104,1411,0
ZV-15,A,0104,1411,0
ZV-16,A,0104,1411,0
ZV-17,A,0104,1411,0
ZV-18,A,0101,3112,0
ZV-19,A,0104,1411,0
ZV-20,A,0104,1411,0
ZX-01,A,0104,0112,0
ZX-02,A,0104,3112,0
ZX-03,A,0104,0112,0
ZX-04,A,0104,0112,0
ZX-05,A,0104,0112,0
ZX-06,A,0104,0112,0
ZX-07,A,0104,0112,0
ZX-08,A,0104,0112,0
ZX-09,A,0104,0112,0
ZX-10,A,0104,0112,0
ZX-11,A,0104,0112,0
ZX-12,A,0104,1012,0
ZX-13,A,0104,0112,0
ZX-14,A,0104,0112,0
ZX-15,A,0104,0112,0
ZX-16,A,0104,0112,0
ZX-18,A,0104,0112,0
ZX-19,A,0104,0112,0
ZX-20,A,0104,0112,0
ZX-21,A,0104,0112,0
ZX-22,A,0104,0112,0
ZX-23,A,0104,0112,0
ZX-24,A,0104,0112,0
ZX-25,A,0104,0112,0
ZX-26,A,0104,0112,0
ZX-27,A,0104,0112,0
ZX-28,A,0104,0112,0
ZX-29,A,0104,0112,0
ZX-30,A,0104,0112,0
ZX-31,A,0104,0112,0
ZX-32,A,0104,0112,0
ZX-33,A,0104,0112,0
ZX-35,A,0104,0112,0
ZY-01,A,0104,0112,0
ZY-02,A,0104,0112,0
ZY-03,A,0104,0112,0
ZY-09,A,0104,0112,0
ZY-10,A,0104,0112,0
ZY-11,A,0104,0112,0
ZY-14,A,0104,0112,0
ZY-15,A,0104,0112,0
ZY-16,A,0104,0112,0
ZY-17,A,0104,0112,0
ZY-18,A,0104,0112,0
ZY-19,A,0104,0112,0
ZY-20,A,0104,0112,0
ZY-21,A,0104,0112,0
ZY-22,A,0104,0112,0
ZY-23,A,0104,0112,0
ZY-24,A,0104,0112,0
ZY-25,A,0104,0112,0
ZY-28,A,0104,0112,0
ZY-29,A,0104,0112,0
ZY-30,A,0104,0112,0
ZY-32,A,0104,0112,0
ZY-33,A,0104,0112,0
ZY-34,A,0104,3112,0
ZY-35,A,0104,0112,0
ZY-37,A,0104,3011,0
ZY-38,A,0104,3011,0
ZY-39,A,0104,3011,0
ZY-40,A,0104,3011,0
ZY-41,A,0104,3011,0
ZY-42,A,0104,3011,0
ZY-43,A,0104,3011,0
ZY-44,A,0104,3011,0
ZY-45,A,0104,3011,0
ZY-46,A,0104,3011,0
ZY-47,A,0104,3011,0
ZY-48,A,0104,0112,0
ZY-49,A,0104,0112,0
ZY-50,A,0104,0112,0
ZY-51,A,0104,0112,0
ZY-53,A,0104,0112,0
ZY-54,A,0104,0112,0
ZY-55,A,0104,0112,0
ZY-56,A,0104,0112,0
ZY-58,A,0104,0112,0
ZY-59,A,0104,0112,0
ZY-62,A,0104,0112,0
ZY-64,A,0104,0112,0
ZY-65,A,0104,0112,0
ZY-66,A,0104,0112,0
ZY-67,A,0104,0112,0
ZY-68,A,0104,0112,0
ZY-69,A,0104,0112,0
ZY-70,A,0104,0112,0
ZY-71,A,0104,0112,0
ZY-72,A,0104,0112,0
ZY-73,A,0104,0112,0
ZY-74,A,0104,0112,0
ZY-76,A,0104,0112,0
ZY-78,A,0104,0112,0
ZY-81,A,0104,0112,0
ZY-82,A,0104,0112,0
ZY-83,A,0104,0112,0
ZY-84,A,0104,0112,0
ZY-85,A,0104,0112,0
ZY-87,A,0104,0112,0
ZY-88,A,0104,0112,0
ZY-89,A,0104,0112,0
ZY-90,A,0104,0112,0
ZY-91,A,0104,0112,0
ZY-92,A,0104,0112,0
ZY-93,A,0104,0112,0
ZY-94,A,0104,0112,0
ZY-95,A,0104,3011,0
ZY-96,A,0104,0112,0
ZY-97,A,0104,0112,0
ZY-98,A,0104,0112,0
ZY-99,A,0104,0112,0
ZZ-24,I,0105,0110,0
ZZ-51,A,0104,0112,0
ZZ-52,A,0104,0112,0
ZZ-53,A,0104,0112,0
ZZ-54,A,0104,0112,0
ZZ-55,A,0104,0112,0
ZZ-56,A,0104,0112,0
ZZ-57,A,0104,0112,0
ZZ-60,A,0104,0112,0
ZZ-65,A,0104,0112,0
ZZ-66,A,0104,0112,0
ZZ-67,A,0104,0112,0
ZZ-68,A,0104,0112,0
ZZ-69,A,0104,0112,0
ZZ-71,A,0104,0112,0
ZZ-72,A,0104,0112,0
ZZ-73,A,0104,0112,0
ZZ-74,A,0104,0112,0
ZZ-75,A,0104,0112,0
ZZ-76,A,0104,0112,0
ZZ-86,A,0104,1511,0
ZZ-89,A,0104,0112,0
ZZ-91,A,0104,0112,0
ZZ-92,I,0101,3112,0
ZZ-93,A,0104,0112,0
ZZ-94,A,0104,0112,0
ZZ-95,A,0101,3112,0
ZZ-96,A,0104,0112,0
ZZ-97,A,0104,0112,0
ZZ-98,A,0104,0112,0
ZZ-99,A,0104,0112,0
